Date,Route,Ridership
08/2018,CityLink Pink,181302
08/2018,CityLink Purple,176764
08/2018,CityLink Red,321440
08/2018,CityLink Silver,161260
08/2018,CityLink Yellow,186510
09/2018,21,48627
09/2018,22,221288
09/2018,26,130907
09/2018,28,94158
09/2018,29,114287
09/2018,30,142816
09/2018,31,95649
09/2018,33,26626
09/2018,34,23530
09/2018,36,64397
09/2018,37,72754
09/2018,38,2090
09/2018,51,40764
09/2018,52,8281
09/2018,53,105981
09/2018,54,197217
09/2018,56,119483
09/2018,57,11037
09/2018,59,33353
09/2018,62,65122
09/2018,63,31674
09/2018,65,38151
09/2018,67,27223
09/2018,69,38728
09/2018,70,50502
09/2018,71,44251
09/2018,73,37827
09/2018,75,37178
09/2018,76,77455
09/2018,77,46584
09/2018,78,115904
09/2018,79,43747
09/2018,80,197159
09/2018,81,49003
09/2018,82,40557
09/2018,83,86972
09/2018,85,133256
09/2018,87,45131
09/2018,89,48143
09/2018,91,24193
09/2018,92,4265
09/2018,93,37134
09/2018,94,45324
09/2018,95,13638
09/2018,103,8013
09/2018,104,
09/2018,105,4651
09/2018,115,5045
09/2018,120,10523
09/2018,150,4353
09/2018,154,10668
09/2018,CityLink Blue,238721
09/2018,CityLink Brown,199954
09/2018,CityLink Gold,249842
09/2018,CityLink Green,190321
09/2018,CityLink Lime,166155
09/2018,CityLink Navy,201898
09/2018,CityLink Orange,264315
09/2018,CityLink Pink,195283
09/2018,CityLink Purple,170378
09/2018,CityLink Red,313077
09/2018,CityLink Silver,167001
09/2018,CityLink Yellow,180338
10/2018,21,53468
10/2018,22,255823
10/2018,26,145951
10/2018,28,106728
10/2018,29,126560
10/2018,30,158553
10/2018,31,108706
10/2018,33,28963
10/2018,34,25871
10/2018,36,74046
10/2018,37,82595
10/2018,38,3107
10/2018,51,48100
10/2018,52,8500
10/2018,53,119840
10/2018,54,213872
10/2018,56,129279
10/2018,57,12866
10/2018,59,38067
10/2018,62,75335
10/2018,63,39370
10/2018,65,44841
10/2018,67,29067
10/2018,69,43761
10/2018,70,57995
10/2018,71,48529
10/2018,73,40253
10/2018,75,40083
10/2018,76,88156
10/2018,77,52424
10/2018,78,124102
10/2018,79,46811
10/2018,80,218446
10/2018,81,55800
10/2018,82,45388
10/2018,83,99716
10/2018,85,143960
10/2018,87,49395
10/2018,89,52703
10/2018,91,24945
10/2018,92,7424
10/2018,93,39910
10/2018,94,50883
10/2018,95,17114
10/2018,103,9413
10/2018,104,663
10/2018,105,4566
10/2018,115,5991
10/2018,120,11122
10/2018,150,5571
10/2018,154,12608
10/2018,CityLink Blue,272223
10/2018,CityLink Brown,201364
10/2018,CityLink Gold,280058
10/2018,CityLink Green,208390
10/2018,CityLink Lime,183656
10/2018,CityLink Navy,223079
10/2018,CityLink Orange,289388
10/2018,CityLink Pink,200419
10/2018,CityLink Purple,193906
10/2018,CityLink Red,338368
10/2018,CityLink Silver,196503
10/2018,CityLink Yellow,201969
11/2018,21,44145
11/2018,22,197631
11/2018,26,121407
11/2018,28,94199
11/2018,29,104538
11/2018,30,127979
11/2018,31,88406
11/2018,33,22036
11/2018,34,20943
11/2018,36,59258
11/2018,37,69811
11/2018,38,672
11/2018,51,41412
11/2018,52,7238
11/2018,53,111887
11/2018,54,186916
11/2018,56,117048
11/2018,57,10060
11/2018,59,36399
11/2018,62,67525
11/2018,63,45605
11/2018,65,32217
11/2018,67,30755
11/2018,69,38149
11/2018,70,48997
11/2018,71,43408
11/2018,73,35827
11/2018,75,35428
11/2018,76,76017
11/2018,77,42827
11/2018,78,110512
11/2018,79,41232
11/2018,80,182930
11/2018,81,48370
11/2018,82,41011
11/2018,83,85945
11/2018,85,129895
11/2018,87,42868
11/2018,89,47606
11/2018,91,20771
11/2018,92,7121
11/2018,93,33535
11/2018,94,43634
11/2018,95,15999
11/2018,103,7966
11/2018,104,488
11/2018,105,4116
11/2018,115,5713
11/2018,120,9914
11/2018,150,4547
11/2018,154,10285
11/2018,CityLink Blue,231948
11/2018,CityLink Brown,177707
